iter	Passed	Remaining
0	689	688792
1	697	347950
2	704	234214
3	710	176993
4	719	143084
5	727	120584
6	735	104345
7	742	92114
8	748	82409
9	758	75083
10	768	69103
11	777	63993
12	784	59586
13	796	56107
14	805	52866
15	815	50145
16	823	47600
17	831	45368
18	839	43338
19	845	41406
20	853	39800
21	860	38231
22	865	36781
23	875	35617
24	881	34375
25	888	33297
26	897	32349
27	903	31364
28	912	30537
29	919	29740
30	928	29010
31	936	28337
32	942	27625
33	953	27079
34	959	26466
35	975	26115
36	982	25575
37	994	25183
38	1007	24830
39	1017	24431
40	1034	24199
41	1041	23764
42	1056	23523
43	1068	23207
44	1080	22929
45	1092	22655
46	1098	22267
47	1104	21905
48	1113	21617
49	1120	21281
50	1127	20989
51	1137	20733
52	1143	20429
53	1152	20187
54	1157	19895
55	1165	19651
56	1172	19403
57	1180	19177
58	1190	18980
59	1195	18732
60	1201	18498
61	1210	18307
62	1215	18085
63	1224	17903
64	1230	17707
65	1237	17511
66	1248	17382
67	1255	17206
68	1267	17101
69	1274	16935
70	1284	16810
71	1295	16698
72	1306	16596
73	1314	16447
74	1326	16354
75	1333	16209
76	1344	16113
77	1351	15974
78	1364	15907
79	1374	15801
80	1390	15773
81	1400	15675
82	1407	15546
83	1414	15420
84	1423	15323
85	1429	15187
86	1435	15066
87	1445	14984
88	1451	14858
89	1461	14774
90	1466	14651
91	1473	14538
92	1481	14449
93	1487	14335
94	1494	14237
95	1502	14147
96	1510	14057
97	1519	13988
98	1525	13884
99	1531	13787
100	1539	13707
101	1545	13606
102	1552	13522
103	1560	13440
104	1565	13347
105	1576	13295
106	1582	13204
107	1587	13113
108	1595	13043
109	1604	12983
110	1612	12912
111	1618	12834
112	1624	12750
113	1631	12683
114	1638	12610
115	1644	12530
116	1651	12467
117	1658	12399
118	1665	12327
119	1674	12279
120	1679	12204
121	1686	12136
122	1694	12085
123	1703	12033
124	1711	11982
125	1718	11917
126	1723	11850
127	1733	11808
128	1739	11741
129	1745	11680
130	1753	11634
131	1759	11569
132	1767	11519
133	1774	11467
134	1780	11408
135	1788	11364
136	1795	11310
137	1801	11253
138	1809	11210
139	1819	11174
140	1826	11127
141	1833	11078
142	1839	11021
143	1846	10978
144	1853	10930
145	1860	10880
146	1869	10848
147	1875	10795
148	1881	10746
149	1890	10712
150	1895	10659
151	1903	10619
152	1910	10577
153	1917	10535
154	1927	10510
155	1933	10461
156	1939	10415
157	1948	10383
158	1953	10335
159	1962	10301
160	1969	10262
161	1974	10215
162	1982	10179
163	1988	10138
164	1994	10094
165	2002	10058
166	2010	10028
167	2018	9994
168	2026	9966
169	2032	9923
170	2040	9890
171	2046	9854
172	2052	9812
173	2062	9790
174	2071	9765
175	2086	9769
176	2098	9756
177	2112	9756
178	2125	9746
179	2132	9713
180	2144	9704
181	2151	9671
182	2164	9662
183	2171	9629
184	2184	9621
185	2193	9598
186	2204	9586
187	2216	9573
188	2226	9554
189	2235	9531
190	2245	9508
191	2251	9475
192	2260	9451
193	2265	9414
194	2273	9385
195	2280	9356
196	2286	9321
197	2294	9294
198	2301	9265
199	2307	9229
200	2315	9203
201	2322	9176
202	2329	9145
203	2338	9123
204	2344	9090
205	2351	9062
206	2358	9036
207	2364	9003
208	2371	8976
209	2379	8950
210	2384	8917
211	2393	8895
212	2399	8867
213	2406	8839
214	2414	8815
215	2423	8795
216	2430	8770
217	2437	8745
218	2443	8715
219	2453	8698
220	2459	8669
221	2465	8641
222	2473	8620
223	2479	8590
224	2487	8567
225	2494	8542
226	2499	8512
227	2507	8490
228	2514	8465
229	2520	8436
230	2527	8413
231	2534	8390
232	2541	8365
233	2550	8350
234	2556	8321
235	2562	8294
236	2571	8278
237	2577	8252
238	2584	8229
239	2591	8207
240	2597	8179
241	2604	8158
242	2611	8135
243	2617	8109
244	2624	8088
245	2632	8067
246	2638	8044
247	2648	8030
248	2653	8004
249	2659	7979
250	2668	7963
251	2674	7938
252	2680	7915
253	2688	7895
254	2694	7871
255	2701	7851
256	2708	7830
257	2714	7806
258	2722	7789
259	2729	7767
260	2735	7744
261	2743	7726
262	2752	7712
263	2759	7692
264	2767	7675
265	2773	7652
266	2780	7634
267	2787	7613
268	2793	7590
269	2802	7577
270	2808	7555
271	2814	7532
272	2823	7519
273	2829	7495
274	2835	7476
275	2843	7458
276	2850	7440
277	2859	7426
278	2866	7408
279	2873	7388
280	2881	7373
281	2887	7351
282	2894	7333
283	2902	7316
284	2907	7295
285	2915	7278
286	2921	7258
287	2927	7236
288	2934	7220
289	2941	7201
290	2946	7179
291	2954	7162
292	2961	7146
293	2969	7129
294	2978	7118
295	2984	7097
296	2993	7085
297	3002	7073
298	3012	7062
299	3019	7045
300	3025	7025
301	3033	7010
302	3040	6993
303	3046	6974
304	3054	6959
305	3063	6948
306	3071	6932
307	3078	6916
308	3084	6897
